Twitter Account,Tweet,Created Date,Tweets Ago,Compound Score,Positive Score,Neutral Score,Negative Score
@BBC,"RT @BBCEngland: Stephen Hawking's PhD thesis has been viewed 250,000 times online since news of his death broke on Wednesday, the Universit…",Sat Mar 17 09:39:19 +0000 2018,85,-0.7717,0.0,0.749,0.251
@BBC,"Ready to get active?
🏃 Here are 5 ways you can get involved in #SportRelief2018. 
👉 https://t.co/wmKUWBDBjp https://t.co/xr7g5Hw4PK",Sat Mar 17 09:00:06 +0000 2018,86,0.6369,0.286,0.714,0.0
@BBC,"RT @BBCR1: This guy just raised over a million pounds for @sportrelief 🙌🏻

Congratulations on completing a truly mammoth task @gregjames, w…",Fri Mar 16 19:38:34 +0000 2018,87,0.7783,0.274,0.726,0.0
@BBC,💪😲⚽️ Keepy-uppy the good work! https://t.co/lFtKEBxjNJ,Fri Mar 16 18:31:01 +0000 2018,88,0.4926,0.39,0.61,0.0
@BBC,❤️🎧 Bradley has never let Asperger's hold him back from doing what he loves. https://t.co/5JFvIXeDSZ,Fri Mar 16 17:00:25 +0000 2018,89,0.5719,0.209,0.791,0.0
@BBC,"Running for the door on a Friday afternoon like...
#FridayFeeling https://t.co/optoQcK1TV",Fri Mar 16 16:30:01 +0000 2018,90,0.0,0.0,1.0,0.0
@BBC,🔊🎵Jarvis Cocker describes the dream-like experience of visiting La Monte Young's Dreamhouse.… https://t.co/O9u7sPRL5m,Fri Mar 16 16:00:00 +0000 2018,91,0.0,0.0,1.0,0.0
@BBC,"RT @BBCR1: The gruelling task of climbing Ben Nevis in underway for @gregjames after cycling 180 miles in a day and a half!

Don't know abo…",Fri Mar 16 14:25:15 +0000 2018,92,0.0,0.0,1.0,0.0
@BBC,Prepare to get that warm fuzzy feeling - the man who photobombed his wife 11 years before he met her:… https://t.co/iZBJ8dEKhz,Fri Mar 16 14:00:13 +0000 2018,93,0.34,0.159,0.841,0.0
@BBC,🤔🎨 Why are soap bubbles such gorgeous colours? https://t.co/ppaXTcvWRZ,Fri Mar 16 12:59:01 +0000 2018,94,0.6124,0.333,0.667,0.0
@BBC,"RT @BBCNewsPR: Get ready to make the headlines. 

Try out our new BBC iReporter game, putting you in the heart of the newsroom #BBCSchoolRe…",Fri Mar 16 12:38:40 +0000 2018,95,0.3612,0.098,0.902,0.0
@BBC,"😂 Fights, funerals, and giant furry heads... @BBCThree lifts the lid on the lives of English football's mascots
👉… https://t.co/gEYxoetlah",Fri Mar 16 12:00:04 +0000 2018,96,-0.6486,0.0,0.762,0.238
@BBC,"RT @BBCRadio2: It's with a heavy heart that today we announce, after 18 fantastic years, @realLynnBowles is leaving Radio 2. 😢

@realkenbru…",Fri Mar 16 10:45:24 +0000 2018,97,0.5574,0.159,0.841,0.0
@BBC,Are you getting enough sleep? This simple test will tell you... 🥄😴#WorldSleepDay https://t.co/SP28dsdLSf,Fri Mar 16 10:02:00 +0000 2018,98,0.0,0.0,1.0,0.0
@BBC,"RT @bbcthree: the dancing in taylor swift's new video seems pretty familiar 

CC @ChrisLilley https://t.co/MfA9usnqSb",Fri Mar 16 09:35:56 +0000 2018,99,0.4939,0.186,0.814,0.0
@BBC,"RT @BBCEngland: Oscar-winning British short film The Silent Child is to be shown on BBC One on Good Friday, giving UK viewers the first cha…",Fri Mar 16 09:35:50 +0000 2018,100,0.6486,0.187,0.813,0.0
@CBS,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ❤️ Get ready to celebrate 45 years of #YR starting in just…",Mon Mar 19 21:02:26 +0000 2018,1,0.7845,0.309,0.619,0.072
@CBS,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,Sun Mar 18 23:44:30 +0000 2018,2,0.0,0.0,1.0,0.0
@CBS,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,Sun Mar 18 18:05:43 +0000 2018,3,0.6514,0.213,0.787,0.0
@CBS,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",Sun Mar 18 17:09:53 +0000 2018,4,0.1867,0.08,0.92,0.0
@CBS,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",Sat Mar 17 19:00:02 +0000 2018,5,0.0,0.0,1.0,0.0
@CBS,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,Sat Mar 17 17:42:43 +0000 2018,6,0.6166,0.161,0.839,0.0
@CBS,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,Sat Mar 17 14:00:03 +0000 2018,7,0.7096,0.247,0.753,0.0
@CBS,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,Fri Mar 16 22:53:21 +0000 2018,8,0.296,0.104,0.896,0.0
@CBS,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",Fri Mar 16 18:15:53 +0000 2018,9,0.0,0.0,1.0,0.0
@CBS,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,Fri Mar 16 16:28:40 +0000 2018,10,0.6514,0.178,0.822,0.0
@CBS,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…",Thu Mar 15 17:54:06 +0000 2018,11,0.7088,0.237,0.763,0.0
@CBS,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,Thu Mar 15 17:20:26 +0000 2018,12,-0.4939,0.077,0.766,0.157
@CBS,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,Thu Mar 15 16:42:41 +0000 2018,13,0.6514,0.194,0.806,0.0
@CBS,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,Thu Mar 15 14:32:16 +0000 2018,14,0.6115,0.266,0.734,0.0
@CBS,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",Wed Mar 14 19:30:01 +0000 2018,15,0.6696,0.219,0.781,0.0
@CBS,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",Tue Mar 13 18:48:52 +0000 2018,16,0.3612,0.143,0.857,0.0
